audio_file|text|speaker_name
wavs/common_voice_hi_26008353.wav|हमने उसका जन्मदिन मनाया |Speaker1
wavs/common_voice_hi_26010468.wav|साउथ दिल्ली नगर निगम सख्त, शॉपिंग मॉल के बाहर नहीं दिखेंगे होर्डिंग|Speaker1
wavs/common_voice_hi_26010469.wav|उत्तर कोरिया ने अमेरिका को दी हमले की धमकी|Speaker1
wavs/common_voice_hi_26010470.wav|अगले कमरे में अनेक रोमन मूर्तियाँ हैं |Speaker1
wavs/common_voice_hi_26010471.wav|तुम ने टॉम को कहाँ भेज दिया?|Speaker1
wavs/common_voice_hi_26010497.wav|सर्दोयों के आने से दिन छोटे होते जाते हैं |Speaker1
wavs/common_voice_hi_26010498.wav|मुझे और वक़्त दो |Speaker1
wavs/common_voice_hi_26010499.wav|कंगना के वकील ने कहा, पुलिस ने किसी लैपटॉप की डिमांड नहीं की है|Speaker1
wavs/common_voice_hi_26010500.wav|क्या सवाल है!|Speaker1
wavs/common_voice_hi_26010535.wav|वह अच्छा राजा था |Speaker1
wavs/common_voice_hi_26010537.wav|ग्रेटर नोएडा में बदमाशों ने इंजीनियर को उसकी ही कार में किया अगवा|Speaker1
wavs/common_voice_hi_26010554.wav|संसद का शीतकालीन सत्र शुरू, पीएम मोदी ने विपक्ष से मांगा सहयोग|Speaker1
wavs/common_voice_hi_26010555.wav|गुजरात कांग्रेस की सरदार संदेश यात्रा संपन्न|Speaker1
wavs/common_voice_hi_26010556.wav|मकर संक्राति पर एमएनएस ने उगली नफरत की आग|Speaker1
wavs/common_voice_hi_26010557.wav|यूनिफॉर्म सिविल कोड से जुड़ी याचिकाओं पर सुनवाई नवंबर तक टली|Speaker1
wavs/common_voice_hi_26010559.wav|कबीर सिंह में ये एक्टर निभाएगा शाहिद के बड़े भाई का रोल|Speaker1
wavs/common_voice_hi_26010589.wav|दुनिया की सबसे बड़ी दुरबीन कैनरी द्वीप समूह पर है |Speaker1
wavs/common_voice_hi_26010592.wav|पहाड़ी प्रदेश में सेहत का राज|Speaker1
wavs/common_voice_hi_26010594.wav|बकवास |Speaker1
wavs/common_voice_hi_26010611.wav|जब भी में यह फोटो देखती हूँ, मुझे मेरे पिता की याद आती है |Speaker1
wavs/common_voice_hi_26010612.wav|करण वाही की गर्लफ्रेंड ने इंस्टा पर किया अपने रिश्ते का खुलासा|Speaker1
wavs/common_voice_hi_26010615.wav|आखिरकार हमे सच्चाई का पता चल गया |Speaker1
wavs/common_voice_hi_26010617.wav|मेरे पास एक बंदूक है |Speaker1
wavs/common_voice_hi_26010620.wav|नाल्को अध्यक्ष गिरफ्तार, लॉकर में मिली सोने की ईंटें|Speaker1
wavs/common_voice_hi_26010630.wav|मैग्सेसे अवॉर्डी संदीप पांडे का आरोप, पुलिस ने किया नजरबंद|Speaker1
wavs/common_voice_hi_26010631.wav|मैं चाय भी पीती हूँ |Speaker1
wavs/common_voice_hi_26010633.wav|'...अल्पसंख्यकों को छला गया'...तो क्या ऐसे होगा छल में छेद!|Speaker1
wavs/common_voice_hi_26010634.wav|क्या आप मेरे भाई मासाओ से मिले हैं?|Speaker1
wavs/common_voice_hi_26010635.wav|तमिलनाडु में बच्चों की तस्करी के रैकेट का खुलासा|Speaker1
wavs/common_voice_hi_26010649.wav|तुम्हे कल आना चाहिए था |Speaker1
wavs/common_voice_hi_26010650.wav|साउथ दिल्ली में इस नई तकनीक से उठाया जाएगा कूड़ा|Speaker1
wavs/common_voice_hi_26010651.wav|...तो कामदेव है उबर कैब का ये सीरियल रेपिस्ट|Speaker1
wavs/common_voice_hi_26010653.wav|सूरज मेरे ऊपर है |Speaker1
wavs/common_voice_hi_26010654.wav|कठुआ रेप: हाईकोर्ट पहुंचा पीड़ित परिवार, फांसी देने की मांग उठाई|Speaker1
wavs/common_voice_hi_26010677.wav|शिवहर लोकसभा सीट: आरजेडी के सामने अपना दबदबा फिर से कायम करने की चुनौती|Speaker1
wavs/common_voice_hi_26010679.wav|दुबई जाने के लिए रची खुद के अपहरण की साजिश|Speaker1
wavs/common_voice_hi_26010681.wav|मैं उसके सुरक्षित लौटने के लिए बेचैन हूँ |Speaker1
wavs/common_voice_hi_26010684.wav|भारत-चीन के रक्षामंत्रियों की डेलिगेशन बातचीत शुरू, डोकलाम विवाद के बाद पहली बैठक|Speaker1
wavs/common_voice_hi_26010699.wav|मेरा भाई मुझ से नफ़रत करता है |Speaker1
wavs/common_voice_hi_26010700.wav|अभी से रात हो गई है |Speaker1
wavs/common_voice_hi_26010701.wav|हमें बीते हुए कल पर पछतावा करने की आदत है |Speaker1
wavs/common_voice_hi_26010702.wav|शून्य, दस, सौ, हज़ार, दस लाख, अरब |Speaker1
wavs/common_voice_hi_26010703.wav|मैं टॉम की मदद करने की कोशिश कर रहा हूँ |Speaker1
wavs/common_voice_hi_26010851.wav|आप ने क्या जवाब दिया?|Speaker1
wavs/common_voice_hi_26010852.wav|बदलाव कभी आसान नहीं होता |Speaker1
wavs/common_voice_hi_26010853.wav|दिल्ली का पूर्णराज्य बनना मुश्किल क्यों?|Speaker1
wavs/common_voice_hi_26010854.wav|तुम्हें मन लगाकर पढ़ना होगा |Speaker1
wavs/common_voice_hi_26010855.wav|मैं अपनी नानी से हफ़्ते में दो बार मिलने जाता हूँ |Speaker1
wavs/common_voice_hi_26021806.wav|अंतर्राष्ट्रीय व्यापार मज़बूत अर्थव्यवस्था के लिए आवश्यक है |Speaker1
wavs/common_voice_hi_26021807.wav|अजमेर ब्लास्ट: इंद्रेश ने आरोपों को बेबुनियाद बताया|Speaker1
wavs/common_voice_hi_26021808.wav|होली पर खूब मस्ती कीजिए, पर जरा भांग से बचके...|Speaker1
wavs/common_voice_hi_26021809.wav|टॉम ने नीले कपड़े पहने थे |Speaker1
wavs/common_voice_hi_26021815.wav|उन दिनों में सफ़र करना बहुत मुश्किल हुआ करता था |Speaker1
wavs/common_voice_hi_26021816.wav|क़ानूनों का पालन करना बहुत ज़रूरी है |Speaker1
wavs/common_voice_hi_26021817.wav|बिजली बिल मुद्दे पर अरविंद केजरीवाल करेंगे अनशन|Speaker1
wavs/common_voice_hi_26021818.wav|बच्चों की देखभाल अच्छी तरह से की जाती थी |Speaker1
wavs/common_voice_hi_26021819.wav|फिरकी का जादूगर|Speaker1
wavs/common_voice_hi_26021825.wav|अजमल कसाब पर बुधवार से चलेगा मुकदमा|Speaker1
wavs/common_voice_hi_26021826.wav|सीक्वल फिल्में पसंद नहीं, 'तनु वेड्स मनु रिटर्न्स' है एक नई कहानी: कंगना रनोट|Speaker1
wavs/common_voice_hi_26021827.wav|वह सुबह से रात तक काम करता है |Speaker1
wavs/common_voice_hi_26021829.wav|सौ करोड़ के क्लब में शामिल हुई दीपिका पादुकोण|Speaker1
wavs/common_voice_hi_26021855.wav|मैंने उसको पैसे देने की कोशिश करी पर उसने इनकार कर दिया |Speaker1
wavs/common_voice_hi_26021857.wav|वह सापोंं से बिलकुल भी नहीं डरता |Speaker1
wavs/common_voice_hi_26021858.wav|टॉम को वह पता था |Speaker1
wavs/common_voice_hi_26021859.wav|माफ़ कीजिएगा, आप मेरी मदद कर सकते हैं क्या?|Speaker1
wavs/common_voice_hi_26021878.wav|वे विद्यार्थी कोरियाई हैं |Speaker1
wavs/common_voice_hi_26021880.wav|मेरी पीठ में थोड़ा दर्द हो रहा है |Speaker1
wavs/common_voice_hi_26021882.wav|दिल्ली: कनॉट प्लेस में पुलिस मुठभेड़ के बाद झपटमार गैंग के दो बदमाश गिरफ्तार|Speaker1
wavs/common_voice_hi_26021883.wav|वह सोमवार को न्यूयॉर्क चला गया |Speaker1
wavs/common_voice_hi_26021884.wav|भारत के जन्नत में विदेशी महिला की हत्या|Speaker1
wavs/common_voice_hi_26021895.wav|बिहार में नक्सली हमले के बाद बंगाल, झारखंड में अलर्ट, यात्री खौफजदा|Speaker1
